category,channel_name,channel_url,subscribers,avg_views_last_n
Design & Architecture,AutoCAD Concept,https://www.youtube.com/channel/UCw45rau6fXT88jrIg1TK3Uw,97900,15867
Design & Architecture,SHAHZAD INTERIOR,https://www.youtube.com/channel/UCDqsvVqiD5dGTwLgC0ljxRw,289000,10694
Design & Architecture,Kiva Brent,https://www.youtube.com/channel/UCna82OUhL3NcPXCRgJFT-kw,441000,24528
Design & Architecture,Simply Just Designs,https://www.youtube.com/channel/UC7exxFMb-gKT1YGcvmD7CLA,35800,21051
Design & Architecture,Dantier and Balogh Design Studio,https://www.youtube.com/channel/UC4ktqo77zOGgk7UZpwxwMIg,62700,14464
Design & Architecture,Caroline Winkler,https://www.youtube.com/channel/UC8JOgFXp-I3YV6dsKqqQdUw,1080000,726178
Design & Architecture,Kristen McGowan,https://www.youtube.com/channel/UC1dveoCg6eLJcy8q3l6u5Sg,1870000,93333
Design & Architecture,Reynard Lowell,https://www.youtube.com/channel/UC7dR3zb454qbmuzTR2_ABhQ,548000,44730
Design & Architecture,Rebecca Robeson,https://www.youtube.com/channel/UC6-X3epFE06GDWRHLQG_YMA,1410000,53079
Design & Architecture,Sophie Paterson,https://www.youtube.com/channel/UC-h9M3cuJRQDYvTdZlgRE6Q,193000,42423
Design & Architecture,Suzie Anderson Home,https://www.youtube.com/channel/UCcRCyZKH2ANT9-a4zxqSenQ,117000,7272
Design & Architecture,Hunting for George,https://www.youtube.com/channel/UCZurPamOJo4tYeHGIyWb19A,278000,4145
Design & Architecture,Renovating Our Home,https://www.youtube.com/channel/UCbWuC0wJUimFAtTzAL0dAWw,138000,311954
Design & Architecture,Julie Sousa,https://www.youtube.com/channel/UC5kyR2Dl6OOC_ljeILz-xGQ,381000,125311
Design & Architecture,TheSorryGirls,https://www.youtube.com/channel/UCSJWlswfVUgyVliZaEFoaBw,2280000,106902
Design & Architecture,Dear Modern,https://www.youtube.com/channel/UCL9Y2MYhBUT0rgOi1q6JeCQ,2290000,598159
Design & Architecture,Alexandra Gater,https://www.youtube.com/channel/UCrh9tOpAY2-Ev5pRssXq2Wg,900000,160066
Design & Architecture,Vrishti Designs,https://www.youtube.com/channel/UCIW2T0EbrkR0wCGMo6gVkCw,66200,9062
