category,channel_name,channel_url,subscribers,avg_views_last_n
Digital Art Creators,Digital Art Junky,https://www.youtube.com/channel/UCZlyVhgzcWN99GbzBU63bgw,58600,15774
Digital Art Creators,WhArt,https://www.youtube.com/channel/UCYRtJZcu2iRtYuqT8o4zclA,46000,13422
Digital Art Creators,Chamel Does Art,https://www.youtube.com/channel/UCIXI5he-6Cibm9ql2s2kOzw,3200,1964
Digital Art Creators,Art with Melody,https://www.youtube.com/channel/UCwCwgY1Cw_EbLltAz4sWDag,29400,46252
Digital Art Creators,Art with Flo,https://www.youtube.com/channel/UCVJ5hHQMXBiRwNv394EOj_w,1210000,20131
Digital Art Creators,Elaine,https://www.youtube.com/channel/UCirI8Pz70bYLghXYCxQZzGQ,110000,36338
Digital Art Creators,Procreate,https://www.youtube.com/channel/UCU88WY0qX2bzDjjOLOj-Gng,622000,32313
Digital Art Creators,SyncPad,https://www.youtube.com/channel/UC008JgpVpqL-sUa-_adpvEw,46200,4684474
Digital Art Creators,Super Deform Art,https://www.youtube.com/channel/UCr9cYu3OEDDldiub9VvOG1Q,73800,170697
Digital Art Creators,kuroshiro,https://www.youtube.com/channel/UC4SwwK7ooyuDrmBROndfRXw,257000,109361
Digital Art Creators,Soulny Art,https://www.youtube.com/channel/UCIoZ48EvAUMbmDikpk3KRUw,11200,1743
Digital Art Creators,Designical,https://www.youtube.com/channel/UCu2KJaya93j91e_dmR0Tl7Q,451000,614704
Digital Art Creators,Vegalia,https://www.youtube.com/channel/UCknr2-a7rfExhOiiOWaVzEQ,379000,249665
Digital Art Creators,Elena Fjordwind,https://www.youtube.com/channel/UCiXSYFQEoXdk_rVmmMAzILQ,35800,21408
Digital Art Creators,GapzDraws,https://www.youtube.com/channel/UCAShUfS47futa9oqGFIW_wg,2020,98386
Digital Art Creators,iDiyaArt,https://www.youtube.com/channel/UCSV2YlVWEFA3ZV10nuUT4bA,36000,97082
Digital Art Creators,Thomko,https://www.youtube.com/channel/UCDV2f_75GLaGFCxdjLittEA,42600,32270
Digital Art Creators,ZHC Crafts,https://www.youtube.com/channel/UCPAk4rqVIwg1NCXh61VJxbg,7900000,588691
Digital Art Creators,Temi Danso Art,https://www.youtube.com/channel/UCHzMgRlktHyJ04V84KyFOfA,856000,462473
Digital Art Creators,Anderson Bluu,https://www.youtube.com/channel/UClJtaL3XijvvMi0_XIenbGg,580000,48326
