category,channel_name,channel_url,subscribers,avg_views_last_n
Fashion & Beauty Creators,Riley Becca,https://www.youtube.com/channel/UCSNH2G94NWoKsEaEqVJpmVw,10500,7531
Fashion & Beauty Creators,Skyler Renee,https://www.youtube.com/channel/UCHTYxnH6zSf2hsE3owt-WTg,72200,14026
Fashion & Beauty Creators,Jasmine Winn,https://www.youtube.com/channel/UCMXgrYvAAhMXq1Iqs8lXbdQ,29800,7208
Fashion & Beauty Creators,James Charles,https://www.youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q,24000000,989268
Fashion & Beauty Creators,Franns,https://www.youtube.com/channel/UC1KhQGS_pIdKrSa1m2oYwjQ,734000,92994
Fashion & Beauty Creators,Katrina Janae ♡ ,https://www.youtube.com/channel/UCdOTW1IhqUyivLfZ_NLC6SQ,68100,55079
Fashion & Beauty Creators,Hannah Sophia,https://www.youtube.com/channel/UC0eeDOnYfhr9Wu-YiaWWrVg,58800,10275
Fashion & Beauty Creators,Kristen Marie,https://www.youtube.com/channel/UCrHkd2JpNZ84Wgd6SRuxLVw,122000,5382
Fashion & Beauty Creators,Allie Ross,https://www.youtube.com/channel/UCMSooEdloSMWLEPtEgLRpXQ,322000,195537
Fashion & Beauty Creators,Tamara Renaye,https://www.youtube.com/channel/UC3W5JbpDxy-xx7R1DuYi6iw,213000,44461
Fashion & Beauty Creators,Erin Dugan Jurchak,https://www.youtube.com/channel/UCePAQws2orUxThrsD6bpxhw,652000,770222
Fashion & Beauty Creators,Kayla Ryan,https://www.youtube.com/channel/UCf_35VVsKHPmWAQjXrDOvtw,570000,617100
Fashion & Beauty Creators,Aditya Madiraju,https://www.youtube.com/channel/UCkl_XiJromwpLF337t_8YfQ,510000,191278
Fashion & Beauty Creators,Tia Shea,https://www.youtube.com/channel/UC1-82PaBq1saqcoAs_XTKeA,198000,127456
Fashion & Beauty Creators,em,https://www.youtube.com/channel/UCcKS_vZOt3wRXS2o8LtkUPw,357000,84564
Fashion & Beauty Creators,Madison Sarah,https://www.youtube.com/channel/UCDNc00-owVLIrau1qVnA7LA,418000,53171
Fashion & Beauty Creators,Allure,https://www.youtube.com/channel/UCb0tMboxhHE8Jx6-nhJmRPw,2110000,44818
Fashion & Beauty Creators,kayla rathbun,https://www.youtube.com/channel/UC9VUpKWDf3SeKfmps96iUSw,48500,11387
Fashion & Beauty Creators,Cece,https://www.youtube.com/channel/UCDOJLR72Jj-lEviJdwU4G6g,1840000,65512
Fashion & Beauty Creators,Marnie Goldberg,https://www.youtube.com/channel/UCmdtnBQJVvY9MNCpgrY0uFw,310000,33351
Fashion & Beauty Creators,Jania Aaliyah,https://www.youtube.com/channel/UC_SxLdlfh9Usd-vJHuEM8bQ,102000,6867
Fashion & Beauty Creators,Lisi Shops,https://www.youtube.com/channel/UCYh931jrUVrrISOGV1qyVtw,929000,113380
Fashion & Beauty Creators,Melinah Beauty™,https://www.youtube.com/channel/UCESgBepznTP7oI3lf1SPHrw,79000,99677
Fashion & Beauty Creators,Jasmin,https://www.youtube.com/channel/UCNs920uL6hUlAq-HS0rtKHw,106000,21344
Fashion & Beauty Creators,Txunamy,https://www.youtube.com/channel/UCHNA1EASDBXfvwMBgWGr0vg,5550000,919040
Fashion & Beauty Creators,Mariam Raidi,https://www.youtube.com/channel/UCHdPYuZqEeYERDV7BKhmN0Q,952000,463468
Fashion & Beauty Creators,Jezelle Catherine,https://www.youtube.com/channel/UCBhNf3uDB4pFuww29O_wAJQ,6330000,301615
Fashion & Beauty Creators,Matt Randon,https://www.youtube.com/channel/UCkYTCoRI2zIfKPJAzsExNyg,1570000,173019
Fashion & Beauty Creators,Ari Kytsya,https://www.youtube.com/channel/UClJWdsHOwkJTVB5wb1fq1Kw,365000,143943
Fashion & Beauty Creators,Lowkey.Sophie,https://www.youtube.com/channel/UCyRlbLHHmuZ6QuHKY0yVnMg,834000,138144
Fashion & Beauty Creators,Christxiee,https://www.youtube.com/channel/UCxS3fmRNz8Vt-TzILSDQ-yQ,1390000,117547
Fashion & Beauty Creators,LittleMe,https://www.youtube.com/channel/UC8mZOn674sw5JoKS0nyXsNQ,1180000,59344
Fashion & Beauty Creators,Tomiwa Rodia,https://www.youtube.com/channel/UCAMgFkNPgozYCRLbXZGk2MA,264000,9711
