category,channel_name,channel_url,subscribers,avg_views_last_n
"Gaming Lore, Story & Narrative Creators",Gingy,https://www.youtube.com/channel/UC9bORzxOWiewqMXxkmhAwAg,506000,468854
"Gaming Lore, Story & Narrative Creators",Green Links,https://www.youtube.com/channel/UCBn_0UxFd9vn2Au6THjncCA,31800,104651
"Gaming Lore, Story & Narrative Creators",The Lorebrarians,https://www.youtube.com/channel/UClysgISO14gw9PyHBMV_t1A,142000,62016
"Gaming Lore, Story & Narrative Creators",Hyper Droid,https://www.youtube.com/channel/UCG4N5CHUnJiDRTpc3QRKUbg,272000,93168
"Gaming Lore, Story & Narrative Creators",Ghost Stefana,https://www.youtube.com/channel/UCo0jxC_nx8zfRzitVlWUBvA,10600,3203
"Gaming Lore, Story & Narrative Creators",WolfheartFPS,https://www.youtube.com/channel/UCi3RdvCWYMzdF-iUgG_0xLQ,244000,22578
"Gaming Lore, Story & Narrative Creators",Warhammer Explained,https://www.youtube.com/channel/UCmxSVrdfO1US_mq2r9AUFmg,16900,287038
"Gaming Lore, Story & Narrative Creators",Navi Explains,https://www.youtube.com/channel/UCLnv2HjaJE-5UgGMFVtQMnA,9210,177240
"Gaming Lore, Story & Narrative Creators",Ashikai,https://www.youtube.com/channel/UCJsx9l8WXBm2_zD5REgpERA,280000,61571
"Gaming Lore, Story & Narrative Creators",ThePatientWolf,https://www.youtube.com/channel/UCbeLg7gCUvAW2w_MGbK5jMA,157000,29897
"Gaming Lore, Story & Narrative Creators",Stray Maverick,https://www.youtube.com/channel/UCkcBw_m-UhmIuGi9t1JFH7g,30100,8239
"Gaming Lore, Story & Narrative Creators",IMGWatcher,https://www.youtube.com/channel/UCzXvA2J2k-FAjPD7NDwkEvw,2580,2300
"Gaming Lore, Story & Narrative Creators",VaatiVidya,https://www.youtube.com/channel/UCe0DNp0mKMqrYVaTundyr9w,3280000,602114
"Gaming Lore, Story & Narrative Creators",Minsleif,https://www.youtube.com/channel/UCM8PYBRGM-TfdNnYjVSlCbw,401000,201582
"Gaming Lore, Story & Narrative Creators",Crog,https://www.youtube.com/channel/UCM-6Th26Tceb_sNipugCwfw,53800,188773
"Gaming Lore, Story & Narrative Creators",ScreenCrush,https://www.youtube.com/channel/UCgMJGv4cQl8-q71AyFeFmtg,1840000,84101
"Gaming Lore, Story & Narrative Creators",Hidden Machine,https://www.youtube.com/channel/UCp8MXoH5jyNVxNw6-s23xDw,10800,3381
"Gaming Lore, Story & Narrative Creators",Johnny the Night Guard,https://www.youtube.com/channel/UCac-88tUo3Y5vkeyHGEaSKA,885000,734824
"Gaming Lore, Story & Narrative Creators",Nikos,https://www.youtube.com/channel/UCwPuC3eWCpfPsUOx-T3I6dQ,125000,47950
"Gaming Lore, Story & Narrative Creators",Medium Dalton,https://www.youtube.com/channel/UCfhlCFuQ30cOKIYsA6PPOkw,1550,15912
"Gaming Lore, Story & Narrative Creators",VideoGames Explained,https://www.youtube.com/channel/UCJowyOndH6UMRyl5DfJD_qQ,3620,1962
"Gaming Lore, Story & Narrative Creators",Peachehz,https://www.youtube.com/channel/UChJ91wTMaPf_B2r6Bo8x7xQ,2040,10034
"Gaming Lore, Story & Narrative Creators",BanditoUglyRat,https://www.youtube.com/channel/UCHCAdkZXc3QLTkAPaasTkgw,2380,9486
"Gaming Lore, Story & Narrative Creators",zekiewonplays,https://www.youtube.com/channel/UCE3LfciAF_Ez5k-id7hXahA,768,857
"Gaming Lore, Story & Narrative Creators",PlayStationGrenade,https://www.youtube.com/channel/UC-KM4Su6AEkUNea4TnYbBBg,2340000,304740
"Gaming Lore, Story & Narrative Creators",Psychic Psydekick,https://www.youtube.com/channel/UCht6nxTH1vku3HHk2fWATQg,4540,154007
"Gaming Lore, Story & Narrative Creators",Necrit,https://www.youtube.com/channel/UCiUHGAbtjCrLO3ZPrTfle3Q,930000,118700
"Gaming Lore, Story & Narrative Creators",FranklyGaming,https://www.youtube.com/channel/UCab_g85VwjPvdXdBoc8ETkA,136000,110605
"Gaming Lore, Story & Narrative Creators",Warhorse Studios,https://www.youtube.com/channel/UCIqUdfkbYmCGM-YRmk28zCg,299000,70955
"Gaming Lore, Story & Narrative Creators",Chukieman,https://www.youtube.com/channel/UCOo1T3wlr-mcBw5zXr3L0Nw,589,21439
"Gaming Lore, Story & Narrative Creators",CaffeineGG,https://www.youtube.com/channel/UC6wDBc3e5ZAaRmNeSdPVKYQ,5760,17146
"Gaming Lore, Story & Narrative Creators",Tempo,https://www.youtube.com/channel/UCXwUq6pQzTZEc9fuoa7mIOA,476,8805
"Gaming Lore, Story & Narrative Creators",Toon Dad,https://www.youtube.com/channel/UCK8qCWFXAbqB1oXXu3d3_bg,4160,579
