category,channel_name,channel_url,subscribers,avg_views_last_n
Indie Builders & Creators,Side Project Brewing,https://www.youtube.com/channel/UCdzorQVnb3oRh_hG_Xwwl8g,488,2236
Indie Builders & Creators,G Bascunana,https://www.youtube.com/channel/UCv2eF3fsp0MDEd65OROLBOQ,17100,6866
Indie Builders & Creators,Side Project,https://www.youtube.com/channel/UCBH2a1wEAuBclNRZQetKY5Q,648,4241
Indie Builders & Creators,Life of Nejo,https://www.youtube.com/channel/UCuMwP0gKSZ4FrIw_1vPGKpQ,23400,9637
Indie Builders & Creators,Louis Morgner,https://www.youtube.com/channel/UC73MBi2IPiIR6wgnouVBydg,1080,2208
Indie Builders & Creators,Will Wang,https://www.youtube.com/channel/UCOXJroGmCXoMS7IA7e4nkDA,16300,20387
Indie Builders & Creators,Bruno Okamoto,https://www.youtube.com/channel/UC6bMtPdKDxeHpASacivx5vQ,62600,5868
Indie Builders & Creators,Rabbit Rabbit Rabbit Records - אייל חי ,https://www.youtube.com/channel/UCK8E6NeOayqTFnliuPB5IIw,1650,995
Indie Builders & Creators,SIDE PROJECT OFFICIAL,https://www.youtube.com/channel/UCGwYya3BXjLIdn1yv3UO1aw,1270,618
Indie Builders & Creators,Jake Kang,https://www.youtube.com/channel/UCosttWAhrDqseWPQ14NwBzA,7460,28353
Indie Builders & Creators,Marc Lou,https://www.youtube.com/channel/UC12JO2IPlEViR-o6SLXKx1A,139000,24026
Indie Builders & Creators,Side Project Nepal ,https://www.youtube.com/channel/UC9eHObqqmMRZ5UhBNfpAVNQ,898,1053
Indie Builders & Creators,Enzo Avigo,https://www.youtube.com/channel/UCrpDUzmhi8WLyQKg7DAyKpQ,1640,516
Indie Builders & Creators,Edmund Yong,https://www.youtube.com/channel/UCuKVsDS3oVzTuNjnQ79pEEg,139000,222966
Indie Builders & Creators,Side Project,https://www.youtube.com/channel/UCiZHQqW_ylPfvmhhZSYNgQQ,1130,74064
Indie Builders & Creators,Marcos Rico Peng,https://www.youtube.com/channel/UCZ9GhI0KPqpnpOqjmMQzrRQ,162000,153063
Indie Builders & Creators,Jacob Sucks At Code,https://www.youtube.com/channel/UCsXQTrMEZkcD_UuCR0wMJmQ,51900,35750
Indie Builders & Creators,Phillip Choi,https://www.youtube.com/channel/UCadUgezGZkA5IknHj2C89yg,117000,29502
Indie Builders & Creators,Alan Wang,https://www.youtube.com/channel/UCE09lXXg7jFugcmTgd4bAvw,1670,12980
Indie Builders & Creators,POP PUNK INDONESIAN CULTURE,https://www.youtube.com/channel/UC_6DtbgOALksZ5kX20ozhCA,203,3368
Indie Builders & Creators,Ben Walton,https://www.youtube.com/channel/UCr2iXPrKlEF8PY61uCYfokQ,815,3032
Indie Builders & Creators,skiyak,https://www.youtube.com/channel/UCcJ3u0LFumCM3Pr7WPD_eww,2350,5238
Indie Builders & Creators,Eric Lay,https://www.youtube.com/channel/UCIgpSWLbRr0UDvJwVKbFsEw,704,4390
Indie Builders & Creators,This Week in Startups,https://www.youtube.com/channel/UCkkhmBWfS7pILYIk0izkc3A,338000,1582
Indie Builders & Creators,Natalie Barbu,https://www.youtube.com/channel/UC-27McNXi7E4Z3H1kZnTjzg,296000,1538
Indie Builders & Creators,Solue,https://www.youtube.com/channel/UCagCzDrG1lfqRd4ILPzisXg,6,219
Indie Builders & Creators,TechRound,https://www.youtube.com/channel/UCQKvA05cY-Vu5RHCchtiHmw,480,180
Indie Builders & Creators,Joma Tech,https://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw,2350000,2365689
Indie Builders & Creators,Yogawerda Kessawa,https://www.youtube.com/channel/UCtQnIE8vuhGIZTrAI21Ubyg,40,61137
Indie Builders & Creators,Fazt,https://www.youtube.com/channel/UCX9NJ471o7Wie1DQe94RVIg,655000,16367
Indie Builders & Creators,Timo Nikolai,https://www.youtube.com/channel/UCX_av3fzwKLUzDT0eTK0DKw,11800,11632
Indie Builders & Creators,Sylvan Franklin,https://www.youtube.com/channel/UC04nROIJrY22Gl2aFqKcdqQ,41100,4753
Indie Builders & Creators,Tom Gregory,https://www.youtube.com/channel/UCxOVEOhPNXcJuyfVLhm_BfQ,36000,2156
Indie Builders & Creators,Samyak Jain Vlogs ,https://www.youtube.com/channel/UCK7neMJQEOiJnlX3aOMrzug,37500,853
