category,channel_name,channel_url,subscribers,avg_views_last_n
Sports (Analysis and Movement Visualization),BF Sports Analysis,https://www.youtube.com/channel/UCcFNd1f-nlb-5sCiUgz_AIw,2030,0
Sports (Analysis and Movement Visualization),Dante Colle,https://www.youtube.com/channel/UC4sJVQVJFhRLbILFO8PgqXA,16800,1340
Sports (Analysis and Movement Visualization),Chase Daniel,https://www.youtube.com/channel/UCSnTko7TBHGlGlA7yvzQVpA,137000,24609
Sports (Analysis and Movement Visualization),Game Design Library,https://www.youtube.com/channel/UCo0sNMGeihsaB3_llpt22Wg,4420,1018
Sports (Analysis and Movement Visualization),ONE JORDO99,https://www.youtube.com/channel/UCMAHB65jJLpfhTFn03GligQ,19,227
Sports (Analysis and Movement Visualization),EP Bantam Game Film,https://www.youtube.com/channel/UC5KrRiQ3_-LCbMYbnriRs4w,274,108
Sports (Analysis and Movement Visualization),Grouch,https://www.youtube.com/channel/UCN2LCOayGpSxdgBk_MB3iIw,37400,276825
Sports (Analysis and Movement Visualization),john smith,https://www.youtube.com/channel/UCf_1X84dd1hOeGtENASbjFQ,9990,106043
Sports (Analysis and Movement Visualization),AceSpectre,https://www.youtube.com/channel/UCeC2VYbtkE6a_dYSkx9NU2w,8880,86066
Sports (Analysis and Movement Visualization),DestinysJesus,https://www.youtube.com/channel/UCq2e11BxnMFk3C2x5a9g9SA,175000,84642
Sports (Analysis and Movement Visualization),greasyindiekid,https://www.youtube.com/channel/UCxHIgZLTXqJskjgVOKmnryg,25,49793
Sports (Analysis and Movement Visualization),Sacred Forest,https://www.youtube.com/channel/UCzn3HIl_ENGSB0t-G7labaQ,7740,33090
Sports (Analysis and Movement Visualization),Biley,https://www.youtube.com/channel/UCkiBIfFgUNep013zfmlbl_A,27600,21613
Sports (Analysis and Movement Visualization),Trey Drechsel,https://www.youtube.com/channel/UC3WSg6XTkGhjWtzcVjN8zPQ,73700,17234
Sports (Analysis and Movement Visualization),CupppaJoe5,https://www.youtube.com/channel/UCa-Xqm-vchLt0O9J6ufYx4Q,373000,6460
Sports (Analysis and Movement Visualization),Motiv8 Lab,https://www.youtube.com/channel/UCa4riO_VcF_vy_qyEkXXZ0Q,44,6018
Sports (Analysis and Movement Visualization),Adi Paode,https://www.youtube.com/channel/UC4lTaOcG3gJebQpc6iQTj3Q,315,4539
Sports (Analysis and Movement Visualization),bbreadman,https://www.youtube.com/channel/UC-nL7bHYV8cZyP_UQIJo7lg,42800,3296
Sports (Analysis and Movement Visualization),Team Eyeland,https://www.youtube.com/channel/UCSsJ7LpRkVjhoVIsDqyPoRw,21500,1281
Sports (Analysis and Movement Visualization),Coach Beast ,https://www.youtube.com/channel/UC2ZBIJe3SWX1x590JfsiAlw,21900,1120
Sports (Analysis and Movement Visualization),R4 Football System,https://www.youtube.com/channel/UCOev5ysYj3io4QO2JOXV0FQ,3620,985
Sports (Analysis and Movement Visualization),Washington Spirit,https://www.youtube.com/channel/UCMlOyKf_b7toiIWFUAQ5ISQ,13100,600
Sports (Analysis and Movement Visualization),AI Mastermind,https://www.youtube.com/channel/UCYqDOCjRMttt5jLz5sLuCPQ,22500,338
Sports (Analysis and Movement Visualization),Todd Wood,https://www.youtube.com/channel/UCYgLew9crWq96-cib-H5icQ,8,114
